model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.7_success,temp_0.7_error
starcoder2:3b,1,Coding Generation,49.32607099424327,4.5059563999966485,7.10089429999789,2527.50390625,,True,,False,Max retries exceeded
starcoder2:3b,2,Coding Generation,0.0,0.0,0.0,1253.4296875,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,3,Coding Generation,0.0,0.0,0.0,1253.4296875,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,4,Coding Generation,0.0,0.0,0.0,1253.4296875,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,5,Coding Generation,0.0,0.0,0.0,1319.93359375,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,6,Coding Generation,0.0,0.0,0.0,1319.93359375,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,7,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,8,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,9,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,10,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,11,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,12,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,13,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,14,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,15,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,16,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,17,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,18,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,19,Coding Generation,0.0,0.0,0.0,2328.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,20,Coding Generation,0.0,0.0,0.0,2420.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,21,Coding Generation,0.0,0.0,0.0,2966.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,22,Coding Generation,0.0,0.0,0.0,2970.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,23,Coding Generation,0.0,0.0,0.0,2976.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,24,Coding Generation,0.0,0.0,0.0,2976.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,25,Coding Generation,0.0,0.0,0.0,2976.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,26,Coding Generation,0.0,0.0,0.0,2986.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,27,Coding Generation,0.0,0.0,0.0,2988.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,28,Coding Generation,0.0,0.0,0.0,2990.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,29,Coding Generation,0.0,0.0,0.0,2990.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,30,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,31,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,32,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,33,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,34,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,35,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,36,Coding Generation,0.0,0.0,0.0,2996.5078125,model 'starcoder2:3b' not found (status code: 404),,,,
